Name,Latitude,Longitude,Group
Agua_Clara_Casa,4.748982,-72.997709,1
Villavicencio,4.151382,-73.63769,1
Agua_Clara_Cesar,8.248187,-73.596725,2
San_Alberto,7.761063,-73.393617,2
Agua_Clara_Cesar,8.248187,-73.596725,3
Ocana,8.25205,-73.35322,3
Aguazul,5.170847,-72.550819,4
Agua_Clara_Casa,4.748982,-72.997709,4
Agustin_C,10.034716,-73.237105,5
San_Roque,9.288159,-73.510852,5
Agustin_C,10.034716,-73.237105,6
Cuatrovientos,9.739005,-73.709335,6
Altamira,2.063112,-75.787545,7
Mocoa,1.15234,-76.651055,7
Altamira,2.063112,-75.787545,8
Florencia,1.615386,-75.604236,8
Armenia,4.535,-75.675689,9
La_Paila,4.320789,-76.072075,9
Barbosa_Ant,6.438791,-75.334099,10
Medellin,6.253041,-75.564574,10
Barbosa_Ant,6.438791,-75.334099,11
Puerto_Araujo,6.52273,-74.082355,11
Barbosa_Boy,5.934363,-73.615679,12
Puerto_Araujo,6.52273,-74.082355,12
Barrancabermeja,7.061708,-73.851932,13
La_Fortuna,7.107706,-73.624878,13
Barranquilla,11.004107,-74.806981,14
Cartagena,10.391049,-75.479426,14
Barranquilla,11.004107,-74.806981,15
Carreto,10.438211,-74.911974,15
Belen_Boy,5.9894,-72.910689,16
Hato_Corozal,6.129631,-71.773682,16
Belen_Boy,5.9894,-72.910689,17
Duitama,5.826895,-73.032927,17
Bogota,4.710989,-74.072092,18
Villavicencio,4.151382,-73.63769,18
Bogota,4.710989,-74.072092,19
Fusa,4.345152,-74.361823,19
Bogota,4.710989,-74.072092,20
Madrid,4.733779,-74.262757,20
Bolombolo,6.00008,-75.81665,21
Quibdo,5.695633,-76.649812,21
Bosconia,9.970362,-73.890531,22
Cuatrovientos,9.739005,-73.709335,22
Bosconia,9.970362,-73.890531,23
La_Gloria,9.792971,-74.328003,23
Bucaramanga,7.119349,-73.122742,24
La_Fortuna,7.107706,-73.624878,24
Bucaramanga,7.119349,-73.122742,25
Malaga,6.703858,-72.729891,25
Bucaramanga,7.119349,-73.122742,26
San_Gil,6.554824,-73.13412,26
Buenavista,10.893997,-72.887421,27
S_Juan_Cesar,10.766667,-73,27
Buenavista,10.893997,-72.887421,28
Riohacha,11.538415,-72.916784,28
Buga,3.900508,-76.302189,29
Palmira,3.537972,-76.297166,29
Buga,3.900508,-76.302189,30
Cali,3.451647,-76.531985,30
Buga,3.900508,-76.302189,31
Loboguerrero,3.746412,-76.663971,31
Cali,3.451647,-76.531985,32
Jamundi,3.262084,-76.541073,32
Caloto,3.033544,-76.408081,33
Popayan,2.444814,-76.614739,33
Carmen_de_Bolivar,9.709395,-75.110779,34
Puerta_Hierro,9.428741,-75.230255,34
Carreto,10.438211,-74.911974,35
Carmen_de_Bolivar,9.709395,-75.110779,35
Cartagena,10.391049,-75.479426,36
Carreto,10.438211,-74.911974,36
Cartagena,10.391049,-75.479426,37
Lorica,9.23764,-75.813625,37
Cartago,4.747221,-75.911629,38
Armenia,4.535,-75.675689,38
Cartago,4.747221,-75.911629,39
Buga,3.900508,-76.302189,39
Cartago,4.747221,-75.911629,40
Zarzal,4.394865,-76.072854,40
Caucasia,7.979698,-75.198563,41
Barbosa_Ant,6.438791,-75.334099,41
Chiquinquira,5.614775,-73.819571,42
Zipaquira,5.021476,-73.990955,42
Cuatrovientos,9.739005,-73.709335,43
San_Roque,9.288159,-73.510852,43
Cuatrovientos,9.739005,-73.709335,44
El_Banco,9.003507,-73.973864,44
Cucuta,7.889097,-72.49669,45
Pamplona,7.37823,-72.650337,45
Duitama,5.826895,-73.032927,46
Tunja,5.544642,-73.357557,46
Duitama,5.826895,-73.032927,47
Aguazul,5.170847,-72.550819,47
El_Banco,9.003507,-73.973864,48
El_Burro,8.875795,-73.66139,48
El_Burro,8.875795,-73.66139,49
Agua_Clara_Cesar,8.248187,-73.596725,49
Espinal,4.149819,-74.884341,50
Neiva,2.934484,-75.2809,50
Fusa,4.345152,-74.361823,51
Ricaurte,4.277309,-74.772305,51
Girardot,4.304596,-74.803141,52
Espinal,4.149819,-74.884341,52
Hato_Corozal,6.129631,-71.773682,53
Yopal,5.348903,-72.400523,53
Honda,5.205118,-74.737081,54
Mariquita,5.199505,-74.886835,54
Honda,5.205118,-74.737081,55
Villeta,5.011346,-74.471083,55
Ibague,4.444676,-75.242438,56
Espinal,4.149819,-74.884341,56
Ibague,4.444676,-75.242438,57
Armenia,4.535,-75.675689,57
Itagui,6.167568,-75.614671,58
La_Felisa,5.45025,-75.649796,58
Jamundi,3.262084,-76.541073,59
Caloto,3.033544,-76.408081,59
La_Dorada,5.472709,-74.667984,60
Honda,5.205118,-74.737081,60
La_Felisa,5.45025,-75.649796,61
Cartago,4.747221,-75.911629,61
La_Fortuna,7.107706,-73.624878,62
Puerto_Araujo,6.52273,-74.082355,62
La_Gloria,9.792971,-74.328003,63
Sta_Ana,9.322961,-74.570544,63
La_Gloria,9.792971,-74.328003,64
Carmen_de_Bolivar,9.709395,-75.110779,64
La_Paila,4.320789,-76.072075,65
Tulua,4.089869,-76.191499,65
La_Paz,10.382467,-73.168945,66
Agustin_C,10.034716,-73.237105,66
Loboguerrero,3.746412,-76.663971,67
Cali,3.451647,-76.531985,67
Loboguerrero,3.746412,-76.663971,68
Buenaventura,3.883047,-77.019721,68
Lorica,9.23764,-75.813625,69
Monteria,8.750983,-75.878535,69
Madrid,4.733779,-74.262757,70
Girardot,4.304596,-74.803141,70
Maicao,11.378934,-72.248517,71
Buenavista,10.893997,-72.887421,71
Malaga,6.703858,-72.729891,72
Soata,6.336161,-72.68157,72
Manizales,5.070275,-75.513817,73
La_Felisa,5.45025,-75.649796,73
Manizales,5.070275,-75.513817,74
Pereira,4.808717,-75.690601,74
Mariquita,5.199505,-74.886835,75
Ibague,4.444676,-75.242438,75
Mariquita,5.199505,-74.886835,76
Manizales,5.070275,-75.513817,76
Medellin,6.253041,-75.564574,77
Sonson,5.712002,-75.309798,77
Medellin,6.253041,-75.564574,78
Rionegro,6.144837,-75.375085,78
Medellin,6.253041,-75.564574,79
Sta_Fe_A,6.52273,-75.823517,79
Medellin,6.253041,-75.564574,80
Bolombolo,6.00008,-75.81665,80
Medellin,6.253041,-75.564574,81
Itagui,6.167568,-75.614671,81
Mocoa,1.15234,-76.651055,82
Pasto,1.205884,-77.285787,82
Monteria,8.750983,-75.878535,83
Ye,8.812305,-75.508261,83
Monteria,8.750983,-75.878535,84
Planeta_Rica,8.412749,-75.584048,84
Narino,5.611015,-75.174162,85
La_Dorada,5.472709,-74.667984,85
Neiva,2.934484,-75.2809,86
Altamira,2.063112,-75.787545,86
Neiva,2.934484,-75.2809,87
Florencia,1.615386,-75.604236,87
Ocana,8.25205,-73.35322,88
Cucuta,7.889097,-72.49669,88
Palmira,3.537972,-76.297166,89
Cali,3.451647,-76.531985,89
Palmira,3.537972,-76.297166,90
Caloto,3.033544,-76.408081,90
Pamplona,7.37823,-72.650337,91
Bucaramanga,7.119349,-73.122742,91
Pamplona,7.37823,-72.650337,92
Tame,6.457094,-71.745515,92
Pamplona,7.37823,-72.650337,93
Malaga,6.703858,-72.729891,93
Pereira,4.808717,-75.690601,94
Cartago,4.747221,-75.911629,94
Pereira,4.808717,-75.690601,95
Armenia,4.535,-75.675689,95
Pinchote,6.53247,-73.1727,96
Barbosa_Boy,5.934363,-73.615679,96
Planeta_Rica,8.412749,-75.584048,97
Caucasia,7.979698,-75.198563,97
Popayan,2.444814,-76.614739,98
Neiva,2.934484,-75.2809,98
Popayan,2.444814,-76.614739,99
Pasto,1.205884,-77.285787,99
Puerta_Hierro,9.428741,-75.230255,100
Sta_Ana,9.322961,-74.570544,100
Puerta_Hierro,9.428741,-75.230255,101
Sincelejo,9.304577,-75.390557,101
Puerto_Araujo,6.52273,-74.082355,102
Puerto_Boyaca,5.977237,-74.593395,102
Puerto_Boyaca,5.977237,-74.593395,103
La_Dorada,5.472709,-74.667984,103
Ricaurte,4.277309,-74.772305,104
Girardot,4.304596,-74.803141,104
Riohacha,11.538415,-72.916784,105
Santa_Marta,11.240355,-74.211023,105
Rionegro,6.144837,-75.375085,106
Puerto_Boyaca,5.977237,-74.593395,106
S_Juan_Cesar,10.766667,-73,107
Valledupar,10.474245,-73.243633,107
S_Juan_Cesar,10.766667,-73,108
La_Paz,10.382467,-73.168945,108
San_Alberto,7.761063,-73.393617,109
Bucaramanga,7.119349,-73.122742,109
San_Alberto,7.761063,-73.393617,110
La_Fortuna,7.107706,-73.624878,110
San_Gil,6.554824,-73.13412,111
Pinchote,6.53247,-73.1727,111
San_Gil,6.554824,-73.13412,112
Soata,6.336161,-72.68157,112
San_Roque,9.288159,-73.510852,113
El_Burro,8.875795,-73.66139,113
Santa_Marta,11.240355,-74.211023,114
Barranquilla,11.004107,-74.806981,114
Santa_Marta,11.240355,-74.211023,115
Bosconia,9.970362,-73.890531,115
Sincelejo,9.304577,-75.390557,116
Lorica,9.23764,-75.813625,116
Sincelejo,9.304577,-75.390557,117
Ye,8.812305,-75.508261,117
Soata,6.336161,-72.68157,118
Belen_Boy,5.9894,-72.910689,118
Sonson,5.712002,-75.309798,119
Narino,5.611015,-75.174162,119
Sta_Ana,9.322961,-74.570544,120
El_Banco,9.003507,-73.973864,120
Sta_Fe_A,6.52273,-75.823517,121
Turbo,8.095159,-76.728456,121
Sta_Fe_A,6.52273,-75.823517,122
Bolombolo,6.00008,-75.81665,122
Tame,6.457094,-71.745515,123
Arauca,7.076172,-70.710457,123
Tame,6.457094,-71.745515,124
Hato_Corozal,6.129631,-71.773682,124
Tulua,4.089869,-76.191499,125
Buga,3.900508,-76.302189,125
Tunja,5.544642,-73.357557,126
Barbosa_Boy,5.934363,-73.615679,126
Tunja,5.544642,-73.357557,127
Chiquinquira,5.614775,-73.819571,127
Tunja,5.544642,-73.357557,128
Bogota,4.710989,-74.072092,128
Tunja,5.544642,-73.357557,129
Agua_Clara_Casa,4.748982,-72.997709,129
Valledupar,10.474245,-73.243633,130
Bosconia,9.970362,-73.890531,130
Valledupar,10.474245,-73.243633,131
La_Paz,10.382467,-73.168945,131
Villavicencio,4.151382,-73.63769,132
Granada,3.544831,-73.705281,132
Villeta,5.011346,-74.471083,133
Bogota,4.710989,-74.072092,133
Villeta,5.011346,-74.471083,134
Madrid,4.733779,-74.262757,134
Ye,8.812305,-75.508261,135
Planeta_Rica,8.412749,-75.584048,135
Yopal,5.348903,-72.400523,136
Aguazul,5.170847,-72.550819,136
Zarzal,4.394865,-76.072854,137
La_Paila,4.320789,-76.072075,137
Zipaquira,5.021476,-73.990955,138
Bogota,4.710989,-74.072092,138
