,arc_i_j,origen,destino,demanda,prob_fallo,arc,latitud_o,longitud_o,latitud_d,longitude_d,i_o,i_d
28,"(27,27)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,27,27
26,"(26,28)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,26,28
27,"(27,26)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,27,26
148,"(33,33)",Pereira,Pereira,0,0.0,Pereira - Pereira1,4.808717,-75.690601,4.808717,-75.690601,33,33
29,"(27,28)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,27,28
30,"(28,26)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,28,26
31,"(28,27)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,28,27
32,"(28,28)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,28,28
33,"(26,26)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,26,26
25,"(26,27)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,26,27
34,"(26,27)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,26,27
36,"(27,26)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,27,26
37,"(27,27)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,27,27
38,"(27,28)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,27,28
39,"(28,26)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,28,26
40,"(28,27)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,28,27
41,"(28,28)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,28,28
145,"(32,32)",Pereira,Pereira,0,0.0,Pereira - Pereira1,4.808717,-75.690601,4.808717,-75.690601,32,32
146,"(32,33)",Pereira,Pereira,0,0.0,Pereira - Pereira1,4.808717,-75.690601,4.808717,-75.690601,32,33
35,"(26,28)",Bogota,Bogota,0,0.0,Bogota - Bogota2,4.710989,-74.072092,4.710989,-74.072092,26,28
24,"(26,26)",Bogota,Bogota,0,0.0,Bogota - Bogota1,4.710989,-74.072092,4.710989,-74.072092,26,26
147,"(33,32)",Pereira,Pereira,0,0.0,Pereira - Pereira1,4.808717,-75.690601,4.808717,-75.690601,33,32
119,"(56,56)",Medellin,Medellin,0,0.0,Medellin - Medellin1,6.253041,-75.564574,6.253041,-75.564574,56,56
122,"(57,57)",Medellin,Medellin,0,0.0,Medellin - Medellin1,6.253041,-75.564574,6.253041,-75.564574,57,57
121,"(57,56)",Medellin,Medellin,0,0.0,Medellin - Medellin1,6.253041,-75.564574,6.253041,-75.564574,57,56
91,"(23,24)",Ibague,Ibague,0,0.0,Ibague - Ibague1,4.444676,-75.242438,4.444676,-75.242438,23,24
