Node name,index
Mocoa,1
Pasto,2
Florencia,3
Altamira,4
Popayan,5
Neiva,6
Caloto,7
Jamundi,8
Cali,9
Palmira,10
Granada,11
Loboguerrero,12
Buenaventura,13
Buga,14
Tulua,15
Espinal,16
Villavicencio,17
Ricaurte,18
Girardot,19
La Paila,20
Fusa,21
Zarzal,22
Ibague,23
Armenia,24
Bogota,25
Madrid,26
Cartago,27
Agua Clara Casa,28
Pereira,29
Villeta,30
Zipaquira,31
Manizales,32
Aguazul,33
Mariquita,34
Honda,35
Yopal,36
La Felisa,37
La Dorada,38
Tunja,39
Narino,40
Chiquinquira,41
Quibdo,42
Sonson,43
Duitama,44
Barbosa Boy,45
Puerto Boyaca,46
Belen Boy,47
Bolombolo,48
Hato Corozal,49
Rionegro,50
Itagui,51
Medellin,52
Soata,53
Barbosa Ant,54
Tame,55
Puerto Araujo,56
Sta Fe A,57
Pinchote,58
San Gil,59
Malaga,60
Barrancabermeja,61
Arauca,62
La Fortuna,63
Bucaramanga,64
Pamplona,65
San Alberto,66
Cucuta,67
Caucasia,68
Turbo,69
Agua Clara Cesar,70
Ocana,71
Planeta Rica,72
Monteria,73
Ye,74
El Burro,75
El Banco,76
Lorica,77
San Roque,78
Sincelejo,79
Sta Ana,80
Puerta Hierro,81
Carmen de Bolivar,82
Cuatrovientos,83
La Gloria,84
Bosconia,85
Agustin C,86
La Paz,87
Cartagena,88
Carreto,89
Valledupar,90
S Juan Cesar,91
Buenavista,92
Barranquilla,93
Santa Marta,94
Maicao,95
Riohacha,96
